"","word","dataset","prop"
"1","raped","metoo",0.00266025916073114
"2","serial","metoo",5.14888869818931e-05
"3","rapist","metoo",0.00044623702050974
"4","kidnapped","metoo",5.14888869818931e-05
"5","drugged","metoo",0.00022311851025487
"6","young","metoo",0.00125289624989273
"7","twenty","metoo",3.43259246545954e-05
"8","one","metoo",0.00684802196859178
"9","still","metoo",0.00422208873251523
"10","virgin","metoo",0.000171629623272977
"11","took","metoo",0.00229983695185789
"12","virginity","metoo",0.00022311851025487
"13","away","metoo",0.00267742212305844
"14","without","metoo",0.00101261477731056
"15","permission","metoo",6.86518493091908e-05
"16","wish","metoo",0.000720844417746503
"17","confront","metoo",0.00022311851025487
"18","scumbag","metoo",1.71629623272977e-05
"19","molested","metoo",0.00113275551360165
"20","see","metoo",0.00233416287651249
"21","get","metoo",0.00459967390371578
"22","life","metoo",0.00394748133527847
"23","prison","metoo",0.000274607397236763
"24","may","metoo",0.00102977773963786
"25","become","metoo",0.000429074058182442
"26","stronger","metoo",0.000429074058182442
"27","resist","metoo",5.14888869818931e-05
"28","sexual","metoo",0.00312365914356818
"29","abuse","metoo",0.00255728138676736
"30","together","metoo",0.000806659229382991
"31","❣️","metoo",1.71629623272977e-05
"32","taken","metoo",0.000463399982837038
"33","quite","metoo",0.000377585171200549
"34","able","metoo",0.000789496267055694
"35","tell","metoo",0.0029691924826225
"36","thing","metoo",0.00157899253411139
"37","many","metoo",0.003690036900369
"38","experiences","metoo",0.000463399982837038
"39","violated","metoo",0.00022311851025487
"40","strong","metoo",0.00137303698618382
"41","people","metoo",0.00432506650647902
"42","shared","metoo",0.000429074058182442
"43","hard","metoo",0.00144168883549301
"44","stories","metoo",0.00133871106152922
"45","think","metoo",0.00271174804771304
"46","must","metoo",0.000532051832146228
"47","enough","metoo",0.00106410366429246
"48","share","metoo",0.00216253325323951
"49","just","metoo",0.00652192568437312
"50","mine","metoo",0.000429074058182442
"51","experienced","metoo",0.000411911095855145
"52","sexistic","metoo",1.71629623272977e-05
"53","things","metoo",0.00193941474298464
"54","worklife","metoo",1.71629623272977e-05
"55","main","metoo",0.000102977773963786
"56","reason","metoo",0.000343259246545954
"57","gave","metoo",0.000926799965674075
"58","work","metoo",0.00157899253411139
"59","working","metoo",0.000840985154037587
"60","architect","metoo",1.71629623272977e-05
"61","today","metoo",0.00139019994851111
"62","also","metoo",0.00217969621556681
"63","personal","metoo",0.000480562945164335
"64","course","metoo",0.000377585171200549
"65","background","metoo",5.14888869818931e-05
"66","trapped","metoo",0.000102977773963786
"67","situations","metoo",0.000257444434909465
"68","experience","metoo",0.000909637003346778
"69","choose","metoo",0.000205955547927572
"70","haunted","metoo",8.58148116364885e-05
"71","21","metoo",0.000308933321891358
"72","years","metoo",0.00762035527332018
"73","old","metoo",0.0037415257873509
"74","studying","metoo",1.71629623272977e-05
"75","school","metoo",0.0014760147601476
"76","architecture","metoo",1.71629623272977e-05
"77","aarhus","metoo",1.71629623272977e-05
"78","denmark","metoo",1.71629623272977e-05
"79","period","metoo",0.000154466660945679
"80","suddently","metoo",1.71629623272977e-05
"81","got","metoo",0.00367287393804171
"82","pain","metoo",0.00113275551360165
"83","back","metoo",0.00399897022226036
"84","stomage","metoo",1.71629623272977e-05
"85","blood","metoo",0.000257444434909465
"86","urin","metoo",3.43259246545954e-05
"87","visited","metoo",1.71629623272977e-05
"88","doctor","metoo",0.000326096284218656
"89","explained","metoo",0.000171629623272977
"90","problem","metoo",0.000600703681455419
"91","said","metoo",0.00415343688320604
"92","commanding","metoo",1.71629623272977e-05
"93","voice","metoo",0.000703681455419205
"94","take","metoo",0.00188792585600275
"95","trousers","metoo",3.43259246545954e-05
"96","even","metoo",0.00348408135244143
"97","fellt","metoo",1.71629623272977e-05
"98","something","metoo",0.00233416287651249
"99","wrong","metoo",0.000840985154037587
"100","asked","metoo",0.00183643696902085
"101","thought","metoo",0.00229983695185789
"102","well","metoo",0.00173345919505707
"103","underneath","metoo",6.86518493091908e-05
"104","gynoghological","metoo",1.71629623272977e-05
"105","chair","metoo",6.86518493091908e-05
"106","gloves","metoo",1.71629623272977e-05
"107","finger","metoo",6.86518493091908e-05
"108","fucked","metoo",6.86518493091908e-05
"109","starting","metoo",0.000120140736291084
"110","cry","metoo",0.00044623702050974
"111","holding","metoo",0.000205955547927572
"112","arm","metoo",8.58148116364885e-05
"113","head","metoo",0.000703681455419205
"114","commanded","metoo",1.71629623272977e-05
"115","look","metoo",0.000961125890328671
"116","dont","metoo",0.000583540719128122
"117","know","metoo",0.00604136273920879
"118","looked","metoo",0.000497725907491633
"119","shamefull","metoo",1.71629623272977e-05
"120","home","metoo",0.00255728138676736
"121","long","metoo",0.00197374066763923
"122","hot","metoo",8.58148116364885e-05
"123","bath","metoo",6.86518493091908e-05
"124","crying","metoo",0.000497725907491633
"125","days","metoo",0.000840985154037587
"126","pains","metoo",6.86518493091908e-05
"127","increased","metoo",1.71629623272977e-05
"128","end","metoo",0.000738007380073801
"129","move","metoo",0.000566377756800824
"130","call","metoo",0.00066935553076461
"131","emergency","metoo",1.71629623272977e-05
"132","begged","metoo",0.000188792585600275
"133","boyfriend","metoo",0.00163048142109328
"134","stay","metoo",0.00109842958894705
"135","terrified","metoo",0.000188792585600275
"136","coming","metoo",0.000411911095855145
"137","man","metoo",0.00344975542778684
"138","good","metoo",0.00171629623272977
"139","nice","metoo",0.000429074058182442
"140","person","metoo",0.00142452587316571
"141","came","metoo",0.00204239251694843
"142","big","metoo",0.000514888869818931
"143","quickly","metoo",0.000171629623272977
"144","diagnosis","metoo",3.43259246545954e-05
"145","severe","metoo",0.000102977773963786
"146","infection","metoo",1.71629623272977e-05
"147","kidney","metoo",1.71629623272977e-05
"148","medicine","metoo",3.43259246545954e-05
"149","straight","metoo",0.000188792585600275
"150","deliver","metoo",1.71629623272977e-05
"151","test","metoo",0.000102977773963786
"152","right","metoo",0.00140736291083841
"153","week","metoo",0.000394748133527847
"154","ok","metoo",0.000789496267055694
"155","harrassed","metoo",5.14888869818931e-05
"156","failed","metoo",0.000102977773963786
"157","help","metoo",0.00211104436625762
"158","seriuosly","metoo",1.71629623272977e-05
"159","alarming","metoo",1.71629623272977e-05
"160","developed","metoo",6.86518493091908e-05
"161","worse","metoo",0.000394748133527847
"162","told","metoo",0.00674504419462799
"163","around","metoo",0.00176778511971166
"164","reacted","metoo",6.86518493091908e-05
"165","brother","metoo",0.00125289624989273
"166","followed","metoo",0.000274607397236763
"167","give","metoo",0.000875311078692182
"168","explanation","metoo",1.71629623272977e-05
"169","wanted","metoo",0.00188792585600275
"170","changed","metoo",0.00044623702050974
"171","another","metoo",0.00156182957178409
"172","gratefull","metoo",1.71629623272977e-05
"173","never","metoo",0.00580108126662662
"174","wonder","metoo",0.000291770359564061
"175","close","metoo",0.000738007380073801
"176","react","metoo",0.000137303698618382
"177","20","metoo",0.000463399982837038
"178","like","metoo",0.00547498498240796
"179","kind","metoo",0.000600703681455419
"180","doctors","metoo",6.86518493091908e-05
"181","women","metoo",0.00389599244829658
"182","possible","metoo",0.000171629623272977
"183","seeking","metoo",8.58148116364885e-05
"184","bad","metoo",0.00121857032523814
"185","name","metoo",0.000617866643782717
"186","internet","metoo",3.43259246545954e-05
"187","warn","metoo",1.71629623272977e-05
"188","didnt","metoo",0.000652192568437312
"189","find","metoo",0.00118424440058354
"190","probably","metoo",0.000291770359564061
"191","went","metoo",0.00334677765382305
"192","pension","metoo",3.43259246545954e-05
"193","now","metoo",0.00403329614691496
"194","writing","metoo",0.000377585171200549
"195","brings","metoo",0.000120140736291084
"196","tears","metoo",0.000257444434909465
"197","eyes","metoo",0.000703681455419205
"198","it’s","metoo",0.000755170342401098
"199","raw","metoo",5.14888869818931e-05
"200","two","metoo",0.00154466660945679
"201","ago","metoo",0.0014931777224749
"202","18","metoo",0.000703681455419205
"203","started","metoo",0.00262593323607655
"204","dating","metoo",0.000308933321891358
"205","cop","metoo",0.000171629623272977
"206","make","metoo",0.00171629623272977
"207","gas","metoo",8.58148116364885e-05
"208","station","metoo",0.000240281472582168
"209","job","metoo",0.000943962928001373
"210","he’d","metoo",0.000102977773963786
"211","contacted","metoo",0.000154466660945679
