word,count,dataset
serial rapist,1,metoo
twenty one,1,metoo
virginity away,1,metoo
away without,2,metoo
get life,1,metoo
become stronger,1,metoo
resist sexual,1,metoo
sexual abuse,47,metoo
abuse together,1,metoo
together ❣️,1,metoo
tell one,1,metoo
one thing,11,metoo
many experiences,1,metoo
many strong,1,metoo
strong people,3,metoo
hard stories,1,metoo
strong enough,7,metoo
share just,2,metoo
just one,6,metoo
experienced many,1,metoo
many sexistic,1,metoo
sexistic things,1,metoo
main reason,1,metoo
architect today,1,metoo
today also,1,metoo
also things,1,metoo
personal life,3,metoo
one experience,1,metoo
21 years,4,metoo
years old,120,metoo
old studying,1,metoo
suddently got,1,metoo
got pain,1,metoo
back stomage,1,metoo
commanding voice,1,metoo
voice take,1,metoo
fellt something,1,metoo
thought well,1,metoo
gynoghological chair,1,metoo
without gloves,1,metoo
gloves finger,1,metoo
finger fucked,1,metoo
cry holding,1,metoo
commanded look,1,metoo
dont know,8,metoo
got home,5,metoo
long long,2,metoo
hot bath,1,metoo
bath crying,1,metoo
pains increased,1,metoo
emergency doctor,1,metoo
doctor coming,1,metoo
good doctor,1,metoo
nice person,1,metoo
big pains,1,metoo
quickly gave,1,metoo
severe infection,1,metoo
got medicine,1,metoo
medicine straight,1,metoo
straight away,2,metoo
urin test,1,metoo
also failed,1,metoo
seriuosly alarming,1,metoo
alarming problem,1,metoo
something even,1,metoo
even worse,7,metoo
people around,5,metoo
one person,10,metoo
person reacted,1,metoo
another doctor,1,metoo
never told,29,metoo
react today,1,metoo
20 years,8,metoo
dont like,2,metoo
doctors even,1,metoo
bad doctors,1,metoo
doctors name,1,metoo
didnt find,1,metoo
probably went,1,metoo
pension now,1,metoo
just writing,1,metoo
brings tears,1,metoo
eyes it’s,1,metoo
it’s still,1,metoo
two years,11,metoo
years ago,42,metoo
started dating,1,metoo
gas station,4,metoo
station job,2,metoo
he’d contacted,1,metoo
facebook i’d,1,metoo
i’d liked,1,metoo
couldn’t believe,1,metoo
actually liked,2,metoo
whenever we’d,1,metoo
we’d text,1,metoo
text he’d,1,metoo
he’d always,1,metoo
always ask,1,metoo
finally said,1,metoo
said yes,5,metoo
yes one,1,metoo
one night,12,metoo
we’re supposed,1,metoo
across state,1,metoo
state lines,1,metoo
bad cold,1,metoo
even left,1,metoo
thirty minutes,1,metoo
looks scary,1,metoo
got mad,2,metoo
phone away,1,metoo
parked we’d,1,metoo
we’d talked,1,metoo
still supposed,1,metoo
many questions,1,metoo
questions race,1,metoo
race d,1,metoo
get serious,1,metoo
didn’t want,11,metoo
scared he’d,2,metoo
he’d hit,1,metoo
said anything,4,metoo
thought maybe,4,metoo
wasn’t right,2,metoo
please don’t,1,metoo
don’t hurt,1,metoo
couldn’t force,1,metoo
still pushing,1,metoo
thighs apart,1,metoo
way inside,1,metoo
just wanted,12,metoo
stop hurting,1,metoo
get home,4,metoo
much pain,3,metoo
purple bruises,2,metoo
bruises everywhere,1,metoo
white 23,1,metoo
23 year,2,metoo
year old,30,metoo
old cop,1,metoo
18 year,2,metoo
old black,1,metoo
black girl,1,metoo
back home,8,metoo
whole spine,1,metoo
middle compartment,1,metoo
3a m,1,metoo
m crying,1,metoo
still come,1,metoo
drive past,1,metoo
always scared,1,metoo
he’d pull,1,metoo
never got,11,metoo
got justice,4,metoo
now he’s,1,metoo
he’s still,2,metoo
another town,2,metoo
town 45,1,metoo
45 mins,1,metoo
mins away,1,metoo
even got,2,metoo
underage girl,1,metoo
girl pregnant,1,metoo
still respected,1,metoo
respected sorry,1,metoo
dressthat dress,1,metoo
someone might,2,metoo
might rape,1,metoo
just asking,1,metoo
must dress,1,metoo
dress modest,1,metoo
everybody knows,1,metoo
promtionthere may,1,metoo
go ahead,3,metoo
pretty dress,1,metoo
dress ©,1,metoo
© copyright,1,metoo
copyright renee,1,metoo
renee belden,1,metoo
“i realized,1,metoo
best friend,26,metoo
will always,12,metoo
always tell,3,metoo
honest truth,1,metoo
mirror even,1,metoo
puffy eyes,1,metoo
low self,2,metoo
self esteem,10,metoo
will tell,2,metoo
really need,2,metoo
change wether,1,metoo
weaknesses etc,1,metoo
will also,2,metoo
also show,1,metoo
finally took,1,metoo
long hard,2,metoo
hard look,1,metoo
saw past,1,metoo
beautiful strong,1,metoo
strong intelligent,1,metoo
intelligent woman,1,metoo
finally see,2,metoo
whole truth,2,metoo
bad pieces,1,metoo
truth good,1,metoo
make changes,1,metoo
get free,2,metoo
free ”,1,metoo
” ~domestic,1,metoo
~domestic violence,1,metoo
violence survivor,1,metoo
sexual assault,30,metoo
assault strong,1,metoo
strong truth,1,metoo
truth mirrors,1,metoo
mirrors endstigma,1,metoo
safe place,3,metoo
50 years,3,metoo
much made,1,metoo
feel like,38,metoo
good enough,9,metoo
decent guy,1,metoo
3 failed,1,metoo
failed marriages,1,metoo
marriages finally,1,metoo
good marriage,1,metoo
widow now,1,metoo
anyone else,16,metoo
scared pretty,1,metoo
pretty lonely,1,metoo
young women,3,metoo
whole childhood,1,metoo
now ex,3,metoo
