word,score
.22,0.12208
.22 caliber,0.0
.22 calibre,0.0
.22-caliber,0.0
.22-calibre,0.0
.38 caliber,0.0
.38 calibre,0.0
.38-caliber,0.0
.38-calibre,0.0
.45 caliber,0.0
.45 calibre,0.0
.45-caliber,0.0
.45-calibre,0.0
0,-0.17044
1,-0.099105
1 chronicles,0.0
1 esdras,0.0
1 kings,0.0
1 maccabees,0.0
1 samuel,0.0
1-dodecanol,0.0
1-hitter,0.0
10,0.0
10-membered,0.0
100,0.0
1000,0.0
10000,0.0
100000,0.0
1000000,0.0
1000000000,0.0
1000000000000,0.0
1000th,0.0
100th,0.0
101,-0.19821
101st,0.0
105,-0.19821
105th,0.0
10th,0.0
11,0.0
11 november,0.0
11-plus,0.0
110,0.0
110th,0.0
115,0.0
115th,0.0
11th,0.0
12,0.0
12-tone music,0.0
12-tone system,0.0
120,0.0
120th,0.0
125,-0.07997
125th,0.0
12th,0.0
13,0.0
130,0.0
130th,0.0
135,-0.07997
135th,0.0
13th,0.0
14,0.0
14 july,0.0
140,0.0
140th,0.0
144,0.0
145,-0.07997
145th,0.0
14th,0.0
15,0.0
15 august 1945,0.0
15 may organization,0.0
15 minutes,0.0
150,0.0
150th,0.0
1530s,0.0
155,-0.07997
155th,0.0
15th,0.0
16,0.0
16 pf,0.0
160,0.0
160th,0.0
165,-0.07997
165th,0.0
16th,0.0
17,0.0
17 november,0.0
170,0.0
170th,0.0
1728,0.0
175,-0.07997
1750s,0.0
175th,0.0
1760s,0.0
1770s,0.0
1780s,0.0
1790s,0.0
17th,0.0
18,0.0
18-karat gold,0.0
180,0.0
180th,0.0
1820s,0.0
1830s,0.0
1840s,0.0
1850s,0.0
1860s,0.0
1870s,0.0
1880s,0.0
1890s,0.0
18th,0.0
19,0.0
190,0.0
1900s,0.0
190th,0.0
1920s,0.0
1930s,0.0
1940s,0.0
1950s,0.0
1960s,0.0
1970s,0.0
1980s,0.0
1990s,0.0
19th,0.0
1st,0.0
1st baron beaverbrook,0.0
1st baron verulam,0.0
1st class,0.0
1st earl attlee,0.0
1st earl baldwin of bewdley,0.0
1st earl of balfour,0.0
1st lieutenant,0.0
1st viscount montgomery of alamein,0.0
1st-class mail,0.0
2,0.0
2 chronicles,0.0
2 esdras,0.15793
2 kings,0.0
2 maccabees,0.0
2 samuel,0.0
2-dimensional,-0.38925
2-hitter,0.0
2-hydroxybenzoic acid,0.0
2-methylpropenoic acid,0.0
20,0.0
20/20,0.0
200,0.0
200th,0.0
20th,0.0
21,0.0
21st,0.0
22,0.0
22-karat gold,0.0
22nd,0.0
23,0.0
23rd,0.0
24,0.0
24-hour interval,0.0
24-karat gold,0.0
24/7,0.0
24th,0.0
25,0.0
25th,0.0
26,0.0
26th,0.0
27,0.0
27th,0.0
28,0.0
28th,0.0
29,0.0
29th,0.0
2d,0.0
2nd,0.0
2nd lieutenant,0.0
3,0.0
3-d,0.0
3-dimensional,0.0
3-hitter,0.0
3-membered,0.0
30,0.0
30 minutes,0.0
300,-0.19821
300th,0.0
30th,0.0
31,0.0
31st,0.0
32,0.0
32nd,0.0
33,0.0
33rd,0.0
34,0.0
34th,0.0
35,0.0
35th,0.0
36,0.0
365 days,-0.34088
366 days,0.15793
36th,0.0
37,0.0
37th,0.0
38,0.0
38th,0.0
39,0.0
39th,0.0
3d,0.0
3d radar,0.0
3rd,0.0
3rd october organization,0.0
3tc,-0.19821
4,0.0
4-dimensional,0.0
4-hitter,0.0
4-membered,0.0
40,0.0
400,-0.19821
400th,0.0
401-k,0.0
401-k plan,0.0
40th,0.0
41,0.0
41st,0.0
42,0.0
42nd,0.0
43,0.0
43rd,0.0
44,0.0
440 yards,0.0
44th,0.0
45,0.0
45th,0.0
46,0.0
46th,0.0
47,0.0
47th,0.0
48,0.0
48th,0.0
49,0.0
49th,0.0
4th,0.0
4to,0.0
4wd,0.0
5,0.0
5-hitter,0.0
5-hydroxy-3-methylglutaryl-coenzyme a reductase,0.0403
5-hydroxytryptamine,0.0
5-membered,0.0
50,0.0
500,0.0
500th,0.0
50th,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
55th,0.0
56,0.0
57,0.0
58,0.0
59,0.0
5th,0.0
6,0.0
6 june 1944,0.0
6-membered,0.0
60,0.0
60 minutes,0.0
60th,0.0
61,0.0
62,0.0
63,0.0
64,0.0
64th,0.0
65,0.0
65th,0.0
66,0.0
67,0.0
68,0.0
69,0.0
6th,0.0
7,0.0
7-membered,0.0
70,0.0
70th,0.0
71,0.0
72,0.0
73,0.0
74,0.0
75,0.0
75th,0.0
76,0.0
77,0.0
78,0.0
79,0.0
7th,0.0
8,0.0
8 may 1945,0.0
8-membered,0.0
80,0.0
80th,0.0
81,0.0
82,0.0
83,0.0
84,0.0
85,0.0
85th,0.0
86,0.0
87,0.0
88,0.0
880 yards,0.0
89,0.0
8th,0.0
8vo,0.0
9,0.0
9-11,0.0
9-membered,0.0
9/11,0.0
90,0.0
90th,0.0
91,0.0
92,0.0
93,0.0
94,0.0
95,0.0
95th,0.0
96,0.0
97,0.0
98,0.0
99,0.0
9th,0.0
a,0.041280000000000004
a battery,0.0
a bit,0.0
a capella singing,0.0
a cappella,0.0
a cappella singing,0.0
a couple of,0.0
a few,0.0
a fortiori,0.15793
a good deal,0.15793
a great deal,0.19877
a horizon,0.0
a hundred times,0.0
a kempis,0.0
a la carte,0.0
a la mode,0.0
a level,0.0
a little,0.0
a lot,0.15793
a million times,0.0
a posteriori,0.02636
a priori,0.027839999999999997
a trifle,0.0
a'man,0.0
a-bomb,0.0
a-horizon,0.0
a-line,0.0
a-list,0.0
a-ok,0.12208
a-okay,0.12208
a-one,0.28394
a-scan ultrasonography,0.0
a-team,0.0
a. a. michelson,0.0
a. a. milne,0.0
a. conan doyle,0.0
a. e. burnside,0.0
a. e. housman,0.12208
a. e. kennelly,0.0
a. e. w. mason,0.0
a. noam chomsky,0.0
a. testudineus,0.0
a.d.,0.0
a.e.,0.0
a.k.a.,0.0
a.m.,0.0
aa,0.0
aaa,0.0403
aachen,0.0
aah,0.0
aaland islands,0.0
aalborg,0.0
aalii,0.0
aalst,0.0
aalto,0.0
aar,0.0
aardvark,0.0
aardwolf,0.0
aare,0.0
aare river,0.0
aarhus,0.0
aaron,0.0
aaron burr,0.0
aaron copland,0.0
aaron montgomery ward,0.0
aaron's rod,-0.07997
aarp,0.0
aas,0.0
aave,0.0
ab,0.0
ab initio,0.0
aba,0.0
aba transit number,0.0
abaca,0.0
abacinate,0.0
aback,0.013009999999999999
abactinal,0.0
abacus,0.0
abadan,0.0
abaft,0.0
abalone,0.0
abamp,0.0
abampere,0.0
abandon,-0.52051
abandoned,-0.05247
abandoned infant,0.0
abandoned person,-0.28345
abandoned ship,0.0
abandonment,-0.5413899999999999
abarticulation,0.0
abase,-0.38925
abasement,-0.12025999999999999
abash,-0.19821
abashed,-0.28345
abashment,-0.25931
abasia,-0.33433
abasia trepidans,-0.28345
abasic,-0.17327
abatable,0.28394
abatable nuisance,-0.07997
abate,-0.06819
abatement,-0.0296
abatement of a nuisance,0.0
abatic,-0.17327
abatis,0.0
abator,0.0
abattis,0.0
abattoir,0.0
abaxial,0.0
abaxially,0.15793
abaya,0.0
abb,0.0
abbacy,0.0
abbatial,0.0
abbe,0.12208
abbe condenser,0.0
abbess,0.0
abbey,0.0
abbot,0.21734
abbott lawrence lowell,0.0
abbreviate,0.0
abbreviated,0.0
abbreviation,0.0
abbreviator,0.0
abc,0.0
abc's,0.0
abcoulomb,0.0
abcs,0.0
abdias,-0.08847000000000001
abdicable,0.15199000000000001
abdicate,0.0
abdication,0.0
abdicator,0.0
abdomen,0.0
abdominal,0.0
abdominal actinomycosis,-0.07997
abdominal aorta,0.0
abdominal aortic aneurysm,0.0403
abdominal breathing,-0.19821
abdominal cavity,0.0
abdominal delivery,0.0
abdominal external oblique muscle,0.0
abdominal muscle,0.0
abdominal nerve plexus,0.0
abdominal pregnancy,0.0
abdominal wall,0.0
abdominocentesis,0.0
abdominoplasty,0.0
abdominous,0.0
abdominousness,0.0
abdominovesical,0.0
abduce,0.0
abducens,0.0
abducens muscle,0.0
abducens nerve,0.0
abducent,0.0
abducent nerve,0.0
abduct,-0.61495
abducting,0.0
abduction,-0.77036
abductor,0.0
abductor muscle,0.0
abeam,0.0
abecedarian,0.0
abecedarius,0.0
abed,0.0
abel,0.0
abel janszoon tasman,0.0
abel tasman,0.0
abelard,0.0
abele,0.0
abelia,0.0
abelian group,0.0
abelmoschus,0.0
abelmoschus esculentus,0.0
abelmoschus moschatus,0.0
