topic,method,sentiment
0,Topic-words,0.07119124037080563
1,Topic-words,0.03668693132210789
2,Topic-words,0.00744385831469053
3,Topic-words,0.08039717596034697
4,Topic-words,0.07797446360834512
5,Topic-words,0.16342215787623074
6,Topic-words,0.0507259181897302
7,Topic-words,0.11703934186260945
8,Topic-words,0.08472817401409513
9,Topic-words,0.07628381862299066
0,Doc-topics-by-d(t)*V,0.17672107062680925
1,Doc-topics-by-d(t)*V,0.18259701995661057
2,Doc-topics-by-d(t)*V,0.17741488338636255
3,Doc-topics-by-d(t)*V,0.17031460343434732
4,Doc-topics-by-d(t)*V,0.17776030008230684
5,Doc-topics-by-d(t)*V,0.149014714481056
6,Doc-topics-by-d(t)*V,0.18826325455026063
7,Doc-topics-by-d(t)*V,0.1780761254799636
8,Doc-topics-by-d(t)*V,0.19031854266777173
9,Doc-topics-by-d(t)*V,0.19337115569118546
0,Doc-topics-by-N,0.018346156823585598
1,Doc-topics-by-N,0.018304260168068527
2,Doc-topics-by-N,0.01728244403942979
3,Doc-topics-by-N,0.016226096425577718
4,Doc-topics-by-N,0.017495374460173085
5,Doc-topics-by-N,0.015609135537964069
6,Doc-topics-by-N,0.01833804138088943
7,Doc-topics-by-N,0.01769050527147128
8,Doc-topics-by-N,0.019714156167195872
9,Doc-topics-by-N,0.019235019463451023
