topic,word,count
7,bud,2
5,dsdb,1
9,raped,114
4,raped,37
3,serial,3
4,rapist,25
4,kidnapped,3
5,drugged,13
5,young,36
1,young,35
8,twenty,1
7,virgin,9
9,virgin,1
7,virginity,13
7,permission,4
9,confront,13
0,scumbag,1
9,molested,65
2,life,167
9,life,50
9,prison,16
7,discussed,4
6,happened,82
9,happened,50
2,happened,44
7,happened,38
9,child,92
9,uncle,24
2,childhood,33
7,talk,73
2,talk,23
9,ex-husband,2
9,married,36
7,long,77
4,long,16
5,long,11
2,long,9
9,years,304
7,years,110
2,years,30
8,endeared,1
7,hours,18
1,screaming,19
4,screaming,1
9,time,102
6,time,95
4,time,86
7,time,82
5,time,7
9,times,51
4,times,46
8,times,11
7,week,20
5,week,3
0,fists,1
2,flown,1
6,end,21
3,end,12
4,end,9
1,table,11
8,dresser,2
7,drawers,1
8,thrown,5
9,year,71
7,year,53
3,year,1
9,marriage,18
7,wait,7
1,fall,7
6,asleep,24
7,wake,11
6,pinned,8
6,bed,53
7,cried,18
6,begged,11
6,stop,66
4,stop,28
6,rape,59
3,rape,52
4,rape,4
7,finally,64
6,finally,35
8,finally,2
7,left,70
1,left,28
9,attempted,16
2,life.i,2
5,writing,19
9,writing,3
9,sympathy,3
3,women,159
5,women,65
5,similar,13
7,situations,13
2,don't,181
6,don't,12
2,hate,19
4,hate,4
7,suicide,12
5,leave,22
7,leave,9
2,part,42
4,part,8
7,part,6
2,sanity,4
7,he's,30
2,worth,21
1,small,20
8,small,8
2,children,29
9,children,25
6,turn,29
5,scarry,1
9,single,14
6,mom,57
9,mom,50
8,found,27
7,found,25
9,found,16
6,found,12
2,easier,6
6,didn't,197
9,didn't,32
1,man,147
3,man,25
9,man,19
8,raging,2
6,background,3
5,work,78
1,work,11
4,work,1
8,raising,5
9,kids,36
6,care,15
2,care,7
9,care,5
4,care,5
0,care,3
8,wrote,26
5,wrote,3
2,wrote,1
8,poem,3
9,anniversary,3
8,horrific,5
2,flashbacks,7
9,trick,1
2,hope,70
7,mind,32
3,mind,17
2,mind,11
8,add,35
8,here.happy,1
8,anniversarya,1
8,love,54
2,love,33
3,love,30
1,built,4
9,happy,21
2,happy,14
3,happy,1
8,lifenow,1
9,longer,27
8,longer,12
3,longer,2
2,"wife""happy",1
2,matebut,1
1,showed,9
9,showed,7
8,hatealways,1
2,putting,8
5,putting,1
7,downyou,1
7,made,130
3,made,35
2,heart,40
7,drownyou,1
9,shoved,3
1,shoved,2
2,dignityso,1
2,deep,14
5,deep,1
8,belowyou,1
8,tearsever,1
8,flowthere,1
9,problemthat,1
2,seethat,1
2,make,60
6,make,32
9,make,5
2,rage,8
8,onand,2
5,freak,2
5,medown,1
6,hallway,5
9,fleetrying,1
6,break,10
8,break,4
6,freefrom,1
9,hateful,1
9,manthat,1
9,meyou,1
6,told,192
7,told,74
5,told,66
1,told,60
8,mei,1
6,mei,1
2,placeas,1
2,raged,1
9,destroyed,6
6,sacred,1
8,spaceas,1
2,backat,1
5,byon,1
8,youi,1
6,relyi,1
7,rebuilt,1
9,family,145
7,family,48
5,lifeever,1
2,gratefuli,1
8,longeryour,1
7,wifeas,1
8,flowi,1
5,watched,13
3,men,137
5,men,58
7,growlove,1
8,peace,21
5,knowvengeful,1
7,words,16
4,words,6
8,sowi,1
9,todayas,1
5,backon,1
8,lovelymonth,1
6,maymy,1
6,startedin,1
2,waybut,1
8,uswalked,1
8,awayit,1
7,rough,5
9,startbut,1
5,heartthe,1
7,knewif,1
7,pursued,2
2,smaller,1
9,familywould,1
1,grow,5
7,grow,4
8,anew,1
5,loose,4
9,loose,1
7,weird,8
7,brings,7
6,back,96
1,back,94
7,back,41
7,memories,26
2,memories,7
9,abused,81
3,abanndoned,1
6,triggered,9
8,happening,16
9,happening,10
9,protect,34
9,loss,4
9,dad,43
7,dad,26
7,harder,6
7,thought,102
5,thought,28
7,keeping,15
2,hard,51
9,hard,25
1,hard,7
3,experienced,24
9,grief,2
7,sleep,31
8,find,37
7,find,32
9,god,25
7,god,13
3,movement,19
6,unstoppable,1
2,sad,25
1,incidents,15
5,abuse/harrasment,1
8,perpetrated,2
7,supposed,19
8,case,20
5,case,9
1,relative,4
6,offered,7
5,employment,6
3,harrased,3
6,constantly,10
7,constantly,4
6,remember,96
2,remember,22
3,remember,7
1,uncomfortable,23
6,uncomfortable,1
3,dirty,11
1,dirty,7
2,feel,112
8,feel,49
1,feel,41
1,remarks,5
1,body,33
3,body,12
2,body,9
6,he'd,27
3,common,5
5,common,1
8,common,1
3,occurence,2
7,naive,14
7,thinking,28
7,endure,7
3,woman,34
5,woman,30
3,spread,6
8,message,21
9,daughters,12
2,people,147
8,people,103
2,doubt,6
8,story,95
2,story,94
7,story,18
3,true,28
2,forward,31
8,understand....we,1
2,understand,49
8,stolen,2
4,stolen,1
7,forced,30
1,forced,16
4,me.i,6
7,regretfully,1
6,lied,8
6,stay,39
2,stay,23
7,friends,146
7,house,74
1,house,25
6,overnight,1
6,drove,16
6,minneapolis,2
7,minutes,12
1,guys,47
1,older,40
9,older,32
7,brother,34
9,brother,33
6,lake,2
1,arrived,9
9,discovered,7
7,couple,25
6,partied,1
7,paired,1
6,nice,16
3,nice,6
7,nice,3
6,kissed,8
6,evening,6
5,scooped,1
1,threw,13
6,started,116
9,started,37
7,undressing,1
7,me............then,1
6,panic,9
1,phone,36
4,number,21
4,call,30
6,call,10
4,pre-cell,1
6,phones,3
0,era,9
6,era,1
7,pleaded,2
7,sobbing,1
6,hands,24
9,hands,10
7,holding,12
7,wrists,3
6,head,41
6,pleading,1
7,crying,28
6,blacked,5
4,suppose,6
4,simply,15
4,alcohol,7
9,alcohol,4
0,alcohol,1
7,drug-induced,1
6,blackout,3
3,real,18
7,real,15
1,blessing,3
7,limp,2
7,dead,16
2,person,82
6,screaming?....i,1
7,morning,33
7,awoke,1
6,relieved,3
3,relieved,3
6,began,40
7,cry,24
2,assembled,1
4,fractured,1
7,glimpses,1
6,night,103
6,dressed,12
7,breakfast,2
6,walked,27
1,walked,2
6,bedroom,15
1,door,50
7,door,8
8,free,17
1,free,9
6,free,2
6,fun,5
7,weeks,35
4,worried,5
9,pregnant,30
7,aids,1
6,pressed,2
7,charges,19
7,disgrace,1
6,boyfriend,48
4,boyfriend,36
9,boyfriend,3
1,grabbed,39
1,squeezed,3
6,sex,59
3,sex,23
4,murdered,2
6,terrified,10
1,moment....and,1
6,woke,26
7,household,3
4,neighborhood,5
6,freaked,4
2,can't,49
6,can't,22
4,loud,9
2,apparently,3
4,apparently,2
7,grabbing,11
4,repressed,1
9,memory,16
6,memory,5
1,guess,16
2,guess,9
4,promised,4
5,promised,2
4,man....if,1
6,fight,20
3,fight,14
5,fight,2
2,death,10
7,rich,1
7,famous,1
7,victim/survivor,1
5,early,11
4,early,9
1,police,54
6,police,23
4,police,1
1,christian,8
1,turned,41
1,backs,4
8,accepting,9
4,persion,1
4,pass,4
3,me_too,1
2,post,38
8,post,27
6,show,16
2,show,9
8,newsfeed,4
8,public,36
1,public,6
2,violated,8
7,violated,5
9,authorities,9
4,i’m,50
3,perpetrators,6
1,funny,13
8,funny,3
7,televised,1
2,today,76
6,living,21
2,living,16
7,nightmare,17
9,totally,7
4,totally,1
4,can’t,19
2,stand,37
3,stand,19
4,drs,1
4,don’t,43
2,trust,32
9,trust,29
7,letting,21
9,husband,52
1,husband,35
9,touch,25
1,touch,18
6,angry,24
6,inside,25
2,inside,12
4,liar,12
3,powerful,9
4,pillar,1
3,community,14
4,defense,1
2,treats,3
6,lying,9
6,knew,58
1,knew,25
9,knew,17
2,fear,37
1,fear,11
4,fear,1
7,coming,23
2,hell,11
5,hell,5
9,nightmares,8
2,nightmares,7
3,nightmares,1
7,anger,7
9,issues,14
6,issues,1
4,issues,1
3,power,34
7,power,4
2,broken,14
7,intimate,5
4,sucks,1
3,sucks,1
1,home,102
6,home,41
5,working,45
8,working,3
7,hour,8
5,shift,4
6,wanted,63
7,wanted,31
9,wanted,16
6,push,10
3,push,1
2,strong,78
6,ripped,10
6,gown,1
2,process,24
6,called,65
4,called,14
3,called,2
2,sec,2
7,broke,22
6,day,60
7,day,57
5,day,38
9,forever,8
3,forever,4
3,means,21
3,mixed,5
2,feelings,20
3,prominent,1
3,e.g,1
9,louis,1
7,there's,9
3,change,42
7,change,8
3,world,44
7,scared,56
3,vulnerable,7
7,telling,40
5,telling,14
6,matter,34
