topic,method,sentiment
0,Topic-words,-0.0004070223189983668
1,Topic-words,0.05892337452207162
2,Topic-words,0.07445433718468872
3,Topic-words,0.028846697788697806
4,Topic-words,0.003100597643097632
5,Topic-words,0.011416607181136131
6,Topic-words,0.046919384310987015
7,Topic-words,0.035652144215777976
8,Topic-words,0.10576887126245836
9,Topic-words,0.02380707962413453
0,Doc-topics-by-d(t)*V,-0.06717085542459783
1,Doc-topics-by-d(t)*V,-0.0866562156803326
2,Doc-topics-by-d(t)*V,-0.05803268571778348
3,Doc-topics-by-d(t)*V,-0.08378782940432479
4,Doc-topics-by-d(t)*V,-0.08262481009538922
5,Doc-topics-by-d(t)*V,-0.09331402575755293
6,Doc-topics-by-d(t)*V,-0.07620733123665129
7,Doc-topics-by-d(t)*V,-0.11278831399194775
8,Doc-topics-by-d(t)*V,-0.11174161557973841
9,Doc-topics-by-d(t)*V,-0.103971842911648
0,Doc-topics-by-N,-0.006047206017807287
1,Doc-topics-by-N,-0.007664988210787043
2,Doc-topics-by-N,-0.007462074806907282
3,Doc-topics-by-N,-0.004558817791164853
4,Doc-topics-by-N,-0.005940715204551397
5,Doc-topics-by-N,-0.011547170338390138
6,Doc-topics-by-N,-0.006323388462174457
7,Doc-topics-by-N,-0.011255045887338324
8,Doc-topics-by-N,-0.014346523376138799
9,Doc-topics-by-N,-0.013590378221170398
