,topic,word,count,prop,score
0,1,young,35,0.0072992700729927005,0.32279
1,1,young,35,0.0072992700729927005,0.3705
2,1,screaming,19,0.003962460896767466,-0.09158
3,1,screaming,19,0.003962460896767466,0.10554000000000001
4,1,table,11,0.0022940563086548487,0.0
5,1,table,11,0.0022940563086548487,0.0
6,1,fall,7,0.00145985401459854,-0.28274
7,1,fall,7,0.00145985401459854,-0.27401
8,1,left,28,0.00583941605839416,-0.01907
9,1,left,28,0.00583941605839416,0.0
10,1,left,28,0.00583941605839416,0.0
11,1,small,20,0.004171011470281543,0.16594
12,1,small,20,0.004171011470281543,0.0
13,1,small,20,0.004171011470281543,0.0
14,1,man,147,0.030656934306569343,0.11479
15,1,man,147,0.030656934306569343,0.0
16,1,work,11,0.0022940563086548487,0.00472
17,1,work,11,0.0022940563086548487,0.03307
18,1,built,4,0.0008342022940563086,0.0
22,1,grow,5,0.0010427528675703858,0.0
23,1,back,94,0.019603753910323252,-0.0179
24,1,back,94,0.019603753910323252,0.0
25,1,back,94,0.019603753910323252,0.0
26,1,back,94,0.019603753910323252,-0.01036
27,1,hard,7,0.00145985401459854,-0.13881
28,1,hard,7,0.00145985401459854,-0.13172
30,1,relative,4,0.0008342022940563086,0.23536999999999997
31,1,relative,4,0.0008342022940563086,0.0
32,1,uncomfortable,23,0.004796663190823775,-0.54269
33,1,dirty,7,0.00145985401459854,-0.4695
34,1,dirty,7,0.00145985401459854,-0.46668000000000004
35,1,feel,41,0.008550573514077163,0.2657
36,1,feel,41,0.008550573514077163,0.29207
38,1,body,33,0.0068821689259645465,0.0
39,1,body,33,0.0068821689259645465,0.0
40,1,forced,16,0.0033368091762252345,-0.02348
41,1,house,25,0.005213764337851929,0.0
42,1,house,25,0.005213764337851929,0.0
44,1,older,40,0.008342022940563087,0.26384
47,1,phone,36,0.007507820646506778,0.0
48,1,phone,36,0.007507820646506778,0.0
49,1,blessing,3,0.0006256517205422315,0.5736100000000001
51,1,door,50,0.010427528675703858,0.0
52,1,free,9,0.0018769551616266945,0.85955
53,1,free,9,0.0018769551616266945,0.0
54,1,free,9,0.0018769551616266945,0.0
55,1,free,9,0.0018769551616266945,0.81944
59,1,guess,16,0.0033368091762252345,0.0669
60,1,guess,16,0.0033368091762252345,0.04131
61,1,police,54,0.011261730969760167,0.0
62,1,police,54,0.011261730969760167,-0.07468
63,1,christian,8,0.0016684045881126173,0.17964000000000002
64,1,christian,8,0.0016684045881126173,0.0
65,1,turned,41,0.008550573514077163,-0.06819
67,1,public,6,0.001251303441084463,0.13594
68,1,public,6,0.001251303441084463,0.0
69,1,funny,13,0.002711157455683003,0.62654
70,1,funny,13,0.002711157455683003,0.0
71,1,husband,35,0.0072992700729927005,0.0
72,1,husband,35,0.0072992700729927005,0.0
73,1,touch,18,0.003753910323253389,0.43756999999999996
74,1,touch,18,0.003753910323253389,0.45965
76,1,fear,11,0.0022940563086548487,-0.49503
77,1,fear,11,0.0022940563086548487,-0.5352399999999999
78,1,home,102,0.021272158498435872,0.0
79,1,home,102,0.021272158498435872,0.58481
80,1,home,102,0.021272158498435872,0.0
81,1,home,102,0.021272158498435872,0.0
82,1,late,15,0.0031282586027111575,-0.40909
83,1,late,15,0.0031282586027111575,-0.46069
84,1,luckily,9,0.0018769551616266945,0.21734
86,1,sexual,18,0.003753910323253389,0.46215
87,1,room,11,0.0022940563086548487,0.14504
88,1,room,11,0.0022940563086548487,0.18109
89,1,meeting,3,0.0006256517205422315,-0.10807
91,1,works,4,0.0008342022940563086,0.11685
92,1,dress,7,0.00145985401459854,0.38201999999999997
93,1,dress,7,0.00145985401459854,0.35704
94,1,dress,7,0.00145985401459854,0.35236999999999996
95,1,lost,3,0.0006256517205422315,-0.61051
96,1,lost,3,0.0006256517205422315,0.0
97,1,high,35,0.0072992700729927005,0.24731
98,1,high,35,0.0072992700729927005,0.1976
99,1,high,35,0.0072992700729927005,0.17825
100,1,school,84,0.017518248175182483,0.0
101,1,school,84,0.017518248175182483,0.07764
