topic,method,sentiment
0,Topic-words,0.09794361323155214
1,Topic-words,0.06946727217546789
2,Topic-words,0.06057272604667989
3,Topic-words,0.0380579160975431
4,Topic-words,0.04425343436202088
5,Topic-words,0.093739805158833
6,Topic-words,0.06620377288247703
7,Topic-words,0.053500286628684016
8,Topic-words,0.06000813214154085
9,Topic-words,0.045517499159649664
0,Doc-topics-by-d(t)*V,0.1814975657015538
1,Doc-topics-by-d(t)*V,0.16399747915579263
2,Doc-topics-by-d(t)*V,0.17782030636338358
3,Doc-topics-by-d(t)*V,0.17535587923146256
4,Doc-topics-by-d(t)*V,0.15763629690798106
5,Doc-topics-by-d(t)*V,0.15357039682534393
6,Doc-topics-by-d(t)*V,0.15362632721716946
7,Doc-topics-by-d(t)*V,0.17508524206989257
8,Doc-topics-by-d(t)*V,0.16528706078028915
9,Doc-topics-by-d(t)*V,0.15498592735344371
0,Doc-topics-by-N,0.01811444826470448
1,Doc-topics-by-N,0.016355444678734052
2,Doc-topics-by-N,0.017496558438016306
3,Doc-topics-by-N,0.017215012220677398
4,Doc-topics-by-N,0.016814878676860393
5,Doc-topics-by-N,0.015109877643915241
6,Doc-topics-by-N,0.01521813703630703
7,Doc-topics-by-N,0.017418708263404265
8,Doc-topics-by-N,0.01624091590457095
9,Doc-topics-by-N,0.01578453966096886
