topic,method,sentiment
0,Topic-words,0.045479979393339934
1,Topic-words,0.03043220929788368
2,Topic-words,0.01794801792541299
3,Topic-words,0.030771581859174512
4,Topic-words,0.020264969272915743
5,Topic-words,0.04739337813421824
6,Topic-words,0.04291266427985377
7,Topic-words,0.019650761620044144
8,Topic-words,0.045393228907158266
9,Topic-words,0.046272880318516806
0,Doc-topics-by-d(t)*V,0.03148745926570436
1,Doc-topics-by-d(t)*V,0.04270824541290765
2,Doc-topics-by-d(t)*V,0.037771328572638464
3,Doc-topics-by-d(t)*V,0.03283652364014104
4,Doc-topics-by-d(t)*V,0.04292561202542727
5,Doc-topics-by-d(t)*V,0.028936731690440354
6,Doc-topics-by-d(t)*V,0.032373836954452166
7,Doc-topics-by-d(t)*V,0.02838361725915993
8,Doc-topics-by-d(t)*V,0.030090736779549588
9,Doc-topics-by-d(t)*V,0.03942223229802549
0,Doc-topics-by-N,0.0031244547689809323
1,Doc-topics-by-N,0.004171467940447552
2,Doc-topics-by-N,0.0037877732394263155
3,Doc-topics-by-N,0.003196143576995182
4,Doc-topics-by-N,0.004610967132284086
5,Doc-topics-by-N,0.002771825501921933
6,Doc-topics-by-N,0.003267590943521128
7,Doc-topics-by-N,0.002907097252549127
8,Doc-topics-by-N,0.002973104611477365
9,Doc-topics-by-N,0.003939150649680289
