neg,neu,pos,compound
0.275,0.725,0,-0.8885
0.494,0.399,0.108,-0.8655
0.284,0.541,0.176,-0.3818
0.115,0.826,0.058,-0.9806
0.208,0.745,0.046,-0.9991
0.06,0.826,0.114,0.508
0,1,0,0
0.154,0.614,0.232,0.9614
0,1,0,0
0.149,0.702,0.149,0.2603
0.159,0.733,0.108,-0.9787
0.13,0.759,0.111,-0.6357
0,0.882,0.118,0.5994
0.209,0.791,0,-0.9074
0.155,0.68,0.165,-0.34
0.091,0.498,0.411,0.9934
0.099,0.782,0.12,0.8437
0,0.593,0.407,0.9001
0,0.471,0.529,0.8402
0,0.723,0.277,0.8779
0.065,0.837,0.098,0.991
0,0.858,0.142,0.9565
0.057,0.893,0.05,-0.2783
0,0.894,0.106,0.4926
0.055,0.903,0.043,-0.3278
0.165,0.726,0.11,-0.9603
0.079,0.859,0.061,-0.3313
0.293,0.506,0.201,-0.9773
0.201,0.564,0.236,0.2498
0.14,0.775,0.085,-0.6705
0,1,0,0
0.149,0.726,0.125,-0.976
0.069,0.751,0.18,0.9764
0.075,0.811,0.114,0.7542
0,0.49,0.51,0.6369
0.202,0.683,0.115,-0.8597
0.535,0.465,0,-0.7845
0,0.706,0.294,0.3612
0.034,0.747,0.219,0.9863
0.049,0.771,0.18,0.9197
0.264,0.64,0.096,-0.9496
0.103,0.678,0.219,0.9025
0.092,0.807,0.102,0.8792
0.195,0.738,0.067,-0.9782
0.102,0.847,0.051,-0.9254
0.378,0.443,0.179,-0.9005
0.141,0.741,0.118,-0.9981
0.092,0.706,0.202,0.9958
0.147,0.761,0.092,-0.9423
0.042,0.86,0.098,0.6359
0.109,0.792,0.099,-0.3276
0.105,0.757,0.138,0.8957
0.241,0.683,0.076,-0.9615
0.099,0.768,0.133,0.7303
0.044,0.658,0.298,0.9297
0,1,0,0
0.139,0.812,0.049,-0.6486
0.227,0.67,0.103,-0.8217
0.145,0.855,0,-0.5267
0.097,0.864,0.039,-0.3291
0.183,0.668,0.149,-0.9371
0.115,0.73,0.155,0.8953
0,0.309,0.691,0.9036
0.196,0.754,0.05,-0.8442
0,0.367,0.633,0.9669
0.156,0.761,0.084,-0.876
0,0.965,0.035,0.32
0.093,0.452,0.454,0.9296
0,0.424,0.576,0.9564
0,0.563,0.437,0.9323
0,0.94,0.06,0.6826
0.129,0.782,0.089,-0.6059
0.092,0.843,0.065,-0.8808
0.17,0.717,0.113,-0.8926
0.092,0.839,0.069,-0.3009
0.093,0.833,0.074,-0.8984
0.066,0.896,0.038,-0.4404
0.382,0.618,0,-0.872
0,0.643,0.357,0.1695
0.168,0.729,0.102,-0.69
0.124,0.715,0.161,0.507
0,1,0,0
0,0.585,0.415,0.9217
0,0.676,0.324,0.8772
0,0.824,0.176,0.5719
0.076,0.86,0.063,-0.2628
0.121,0.787,0.092,-0.9428
0.051,0.737,0.212,0.914
0.055,0.859,0.086,0.1531
0.241,0.688,0.071,-0.9985
0.126,0.796,0.078,-0.899
0.193,0.78,0.027,-0.9393
0.188,0.694,0.118,-0.4019
0.102,0.85,0.048,-0.8402
0,0.895,0.105,0.5719
0,0.938,0.062,0.3612
0.053,0.512,0.435,0.8874
0.105,0.752,0.143,0.1585
0.162,0.691,0.147,-0.6187
0.083,0.526,0.391,0.9924
0.178,0.685,0.138,-0.25
0.11,0.808,0.082,-0.4957
0.112,0.762,0.126,0.0772
0.165,0.748,0.087,-0.991
0.249,0.675,0.076,-0.6632
0.171,0.553,0.276,0.2748
0,1,0,0
0.275,0.646,0.079,-0.9913
0.121,0.826,0.053,-0.7783
0.186,0.714,0.099,-0.7783
0.043,0.578,0.379,0.9624
0.103,0.811,0.086,-0.5859
0,1,0,0
0.059,0.826,0.115,0.5837
0,0.872,0.128,0.3612
0.018,0.905,0.077,0.775
0.126,0.767,0.107,-0.9933
0.076,0.74,0.184,0.9669
0.109,0.792,0.098,-0.3879
0.101,0.838,0.06,-0.7794
0.09,0.832,0.078,-0.9031
0.102,0.813,0.086,-0.7642
0.095,0.775,0.13,0.7634
0.137,0.752,0.111,-0.8725
0.095,0.663,0.242,0.9973
0.155,0.784,0.061,-0.5983
0.095,0.871,0.034,-0.6486
0.095,0.734,0.17,0.955
0.117,0.737,0.146,0.9795
0.194,0.663,0.143,-0.9206
0.079,0.733,0.188,0.9953
0.128,0.852,0.019,-0.9904
0.283,0.694,0.023,-0.9655
0.292,0.627,0.082,-0.7717
0,1,0,0
0.17,0.83,0,-0.6486
0.238,0.716,0.046,-0.8442
0.081,0.817,0.102,0.3674
0.133,0.798,0.069,-0.9183
0,0.856,0.144,0.8201
0.069,0.709,0.222,0.872
0,1,0,0
0.043,0.904,0.052,-0.0772
0.247,0.753,0,-0.3182
0.043,0.844,0.113,0.4019
0,1,0,0
0.037,0.758,0.205,0.9709
0,1,0,0
0.14,0.644,0.216,0.9897
0.062,0.831,0.107,0.867
