neg,neu,pos,compound,line
0.0,0.914,0.086,0.4588,"On Dec. 19, around noon, New York City's Union Square Business Improvement District plans the First Santa Claus Ulympics (that's yule-lympics), in which about 50 contestants, in red suits and beards, will compete."
0.0,1.0,0.0,0.0,"Events include sprinting, broad jumping, yule log rolling, wreath tossing and a toy sack relay."
0.0,0.828,0.172,0.4019,It's mainly a holiday celebration - toys from the sacks will be distributed to homeless kids.
0.0,1.0,0.0,0.0,But the games also convey another message.
0.109,0.891,0.0,-0.296,"According to Clement C. Moore, author of ''A Visit from St. Nicholas,'' Santa Claus was no picture of health."
0.118,0.714,0.168,0.4522,"''The stump of a pipe he held tight in his teeth'' (periodontal risk); ''And the smoke it encircled his head like a wreath'' (heart disease, lung cancer); ''He had a broad face, and a round little belly / That shook, when he laughed, like a bowl full of jelly'' (overweight, poor aerobic fitness, weak muscle tone)."
0.135,0.865,0.0,-0.1027,It's hard to imagine such a person acting ''lively and quick.''
0.0,0.734,0.266,0.4404,American youth needs the Union Square Santas' better example.
0.0,1.0,0.0,0.0,Government budget time means budget language time.
0.0,0.774,0.226,0.4215,"Some budget terms are technical necessities, like the distinction between actual outlays and budget authority."
0.0,1.0,0.0,0.0,Others are gems of political euphemism.
0.0,0.913,0.087,0.3182,"The recent prize-winner, which may be the work of an unknown New York state budget writer a few years ago, is revenue enhancement, meaning tax increase."
0.108,0.739,0.153,0.2263,No one has devised a euphemism of equal elegance for the other side of the ledger - until now.
0.0,1.0,0.0,0.0,"The new Reagan budget is skimpy on detail and limp on initiatives, but page 2-13 offers a new pearl of circumlocution."
0.239,0.598,0.163,-0.1027,"The Administration, it says, calls for no cuts in benefit levels for several programs."
0.0,0.857,0.143,0.128,"For some others, however, the Administration proposes carefully targeted reforms."
0.252,0.446,0.302,0.25,"Perfect: a description for spending cuts, even harsh ones, that sounds innocent, progressive, humane."
0.0,0.914,0.086,0.128,"Is there, somewhere, a government budget in which carefully targeted reforms involve spending more money instead of less?"
0.0,0.759,0.241,0.659,"Sure, the same budget in which revenue enhancement means making a tax law more efficient, not just increasing the take."
0.138,0.734,0.128,-0.0516,Have countries threatened with retaliatory tariffs under the new trade law entered into negotiations with the United States?
0.0,1.0,0.0,0.0,"S. Linn Williams, deputy U.S. Trade Representative, says: ''There are discussions."
0.0,1.0,0.0,0.0,We can call them negotiations.
0.0,1.0,0.0,0.0,They can call them a banana as long as it produces results.''
0.0,1.0,0.0,0.0,Banana?
0.0,1.0,0.0,0.0,It's an economic euphemism with precedent.
0.244,0.756,0.0,-0.7003,"During the Carter years, a nervous White House enjoined Administration officials not to mention the dreaded word ''depression,'' or even ''recession.''"
0.0,1.0,0.0,0.0,"Alfred Kahn, the chairman of the Council on Wage and Price Stability, got the message."
0.339,0.661,0.0,-0.802,"The next time he wanted to warn of economic trouble, he talked about ''the worst banana you ever saw.''"
0.286,0.714,0.0,-0.4215,Washington's semantic worries haven't changed much since then.
0.0,0.85,0.15,0.4588,"For months the Federal Reserve Board has been keeping interest rates high, out of concern over rising inflation."
0.203,0.797,0.0,-0.4215,Now it appears to be acting instead out of concern over recession.
0.0,1.0,0.0,0.0,"Last week the Federal funds rate dropped a quarter-point, to 9 1/4 percent."
0.0,1.0,0.0,0.0,"The Fed's chairman, Alan Greenspan, will be asked about the future course of Fed policy when he testifies before Congress later this month."
0.061,0.83,0.109,0.2732,"Even under probing questioning he'll probably maintain a cryptic, statesmanlike position, something like: ''We have achieved our goal of moderating the economy.''"
0.0,1.0,0.0,0.0,"In other words, banana."
0.0,1.0,0.0,0.0,It may have started when Gloria Vanderbilt plastered her name across millions of back pockets.
0.0,0.909,0.091,0.2023,"In time, Americans began accepting strangers' signatures not just on their jeans but their shoes, purses, cosmetics and furnishings."
0.0,1.0,0.0,0.0,"Signed, labeled or otherwise trademarked, almost everything now seems to be a designer item."
0.0,1.0,0.0,0.0,Norma Kamali will design your couch.
0.0,0.656,0.344,0.2732,Ralph Lauren creates your carpets.
0.0,1.0,0.0,0.0,"You can sleep slathered in cream by Elizabeth Arden, scented with perfume by Mikhail Baryshnikov, wear lingerie by Calvin Klein and nestle in sheets by Christian Dior."
0.0,0.886,0.114,0.4019,"Then you can get up, throw on your bathrobe by Bill Blass and clean your teeth with a designer toothbrush by Paul Smith."
0.156,0.844,0.0,-0.34,What fuels America's obsession with putting a stranger's name on even the most intimate possessions?
0.336,0.526,0.138,-0.4588,"Probably, sadly, it's a belief among many people that they lack chic."
0.0,0.884,0.116,0.2732,"Designer labels, they assume, will at least certify they have the taste (and money) to buy chic."
0.274,0.726,0.0,-0.5994,But flaunting a price tag disguised as a designer name is as tasteless as it is insecure.
0.0,1.0,0.0,0.0,"The right names to sew on our clothes are our own, and the right place is on the inside."
0.068,0.932,0.0,-0.296,Coming home to the sidewalks of New York used to be a real come-down for the person who'd just spent a week or so on the streets of Paris: there were no flowers.
0.0,0.913,0.087,0.3182,"In Paris, street markets flaunted huge bouquets of mimosa in February, small bouquets of lily of the valley in May, and roses all the time."
0.0,1.0,0.0,0.0,New York's handful of street markets featured grit-flecked daisies and bedraggled mountain laurel.
0.0,1.0,0.0,0.0,Then Korean grocers set up shop and brought acres of flowers with them.
0.0,1.0,0.0,0.0,Suddenly anyone with two or three bucks to spare could have daffodils in the living room or carnations by the bed.
0.064,0.936,0.0,-0.0772,"Next, the farmers in the city's Greenmarkets started harvesting asters and wildflowers and bittersweet along with tomatoes, corn and squash."
0.0,1.0,0.0,0.0,"Now rose fever, which began in two boutiques on the Upper East Side, is spreading."
0.0,1.0,0.0,0.0,The rose boutiques sell flowers direct from Central America for $6 to $13 a dozen.
0.0,1.0,0.0,0.0,There is a new one in Greenwich Village and more are expected on the Upper West Side.
0.0,0.892,0.108,0.1779,A city getting tougher to live in by the minute is also getting sweeter every day.
0.143,0.763,0.094,-0.1761,"Some of New York's most influential lawmakers thought nothing of accepting free air fare and accommodations to attend last week's New York Savings Bank convention in Boca Raton, Fla."
0.0,1.0,0.0,0.0,In the process they threw a shadow over both banking and government.
0.0,1.0,0.0,0.0,"The junketeers included Senator Alfonse D'Amato, a member of the Banking Committee; Assembly Speaker Mel Miller; Ralph Marino, incoming State Senate majority leader, who now heads the Banking Committee, and Herman Farrell, head of the Assembly Banks Committee."
0.0,0.733,0.267,0.3724,There's nothing wrong with participating in the convention.
0.0,1.0,0.0,0.0,Exchanges between officials and the industries they regulate are part of public policy-making.
0.123,0.877,0.0,-0.1027,What casts the shadow is letting the banks pay their way.
0.287,0.504,0.209,-0.25,"When officials accept freebies from those they are charged with overseeing, they open their impartiality to unworthy suspicion."
0.0,0.826,0.174,0.2732,The public is entitled to that impartiality - and to its appearance.
0.0,0.732,0.268,0.5106,"New York's Banking Superintendent, Jill Considine, observes an ethical standard."
0.0,1.0,0.0,0.0,"She too attended the convention, but at state expense."
