topic,word,count,prop,score,x,y,helper,expected,expected_scaled
8,times,11,0.003654485,0.23852,79.30247074,151.1568297,8.72E-04,0.105768871,1
8,dresser,2,6.64E-04,0,79.30247074,151.1568297,0,0.105768871,1
8,thrown,5,0.00166113,0,79.30247074,151.1568297,0,0.105768871,1
8,finally,2,6.64E-04,0,79.30247074,151.1568297,0,0.105768871,1
8,small,8,0.002657807,0.055313333,79.30247074,151.1568297,1.47E-04,0.105768871,1
8,found,27,0.0089701,0,79.30247074,151.1568297,0,0.105768871,1
8,raging,2,6.64E-04,-0.38101,79.30247074,151.1568297,-2.53E-04,0.105768871,1
8,raising,5,0.00166113,0.10399,79.30247074,151.1568297,1.73E-04,0.105768871,1
8,poem,3,9.97E-04,0,79.30247074,151.1568297,0,0.105768871,1
8,horrific,5,0.00166113,-0.69595,79.30247074,151.1568297,-0.001156063,0.105768871,1
8,add,35,0.011627907,0.281085,79.30247074,151.1568297,0.00326843,0.105768871,1
8,love,54,0.017940199,0.74083,79.30247074,151.1568297,0.013290638,0.105768871,1
8,longer,12,0.003986711,0,79.30247074,151.1568297,0,0.105768871,1
8,break,4,0.001328904,0.038095,79.30247074,151.1568297,5.06E-05,0.105768871,1
8,peace,21,0.006976744,0.66365,79.30247074,151.1568297,0.004630116,0.105768871,1
8,happening,16,0.005315615,0,79.30247074,151.1568297,0,0.105768871,1
8,find,37,0.012292359,0.36875,79.30247074,151.1568297,0.004532807,0.105768871,1
8,case,20,0.006644518,0.029205,79.30247074,151.1568297,1.94E-04,0.105768871,1
8,feel,49,0.01627907,0.278885,79.30247074,151.1568297,0.004539988,0.105768871,1
8,message,21,0.006976744,0,79.30247074,151.1568297,0,0.105768871,1
8,people,103,0.034219269,0,79.30247074,151.1568297,0,0.105768871,1
8,story,95,0.031561462,0.60044,79.30247074,151.1568297,0.018950764,0.105768871,1
8,free,17,0.005647841,0.4197475,79.30247074,151.1568297,0.002370667,0.105768871,1
8,accepting,9,0.002990033,0.08478,79.30247074,151.1568297,2.53E-04,0.105768871,1
8,post,27,0.0089701,0.032295,79.30247074,151.1568297,2.90E-04,0.105768871,1
8,public,36,0.011960133,0.06797,79.30247074,151.1568297,8.13E-04,0.105768871,1
8,funny,3,9.97E-04,0.31327,79.30247074,151.1568297,3.12E-04,0.105768871,1
8,working,3,9.97E-04,0.053455,79.30247074,151.1568297,5.33E-05,0.105768871,1
8,silence,23,0.007641196,0.0845,79.30247074,151.1568297,6.46E-04,0.105768871,1
8,kiss,6,0.001993355,0.32059,79.30247074,151.1568297,6.39E-04,0.105768871,1
8,guilty,7,0.002325581,-0.52028,79.30247074,151.1568297,-0.001209953,0.105768871,1
8,sexual,5,0.00166113,0.46215,79.30247074,151.1568297,7.68E-04,0.105768871,1
8,join,20,0.006644518,0,79.30247074,151.1568297,0,0.105768871,1
8,request,5,0.00166113,0.10881,79.30247074,151.1568297,1.81E-04,0.105768871,1
8,word,22,0.00730897,0,79.30247074,151.1568297,0,0.105768871,1
8,inspired,4,0.001328904,0.50762,79.30247074,151.1568297,6.75E-04,0.105768871,1
8,courage,40,0.013289037,0.67184,79.30247074,151.1568297,0.008928106,0.105768871,1
8,group,84,0.027906977,0.11868,79.30247074,151.1568297,0.003312,0.105768871,1
8,speak,40,0.013289037,0,79.30247074,151.1568297,0,0.105768871,1
8,support,34,0.011295681,0.240305,79.30247074,151.1568297,0.002714409,0.105768871,1
8,frustration,2,6.64E-04,-0.65532,79.30247074,151.1568297,-4.35E-04,0.105768871,1
8,healing,40,0.013289037,0.321655,79.30247074,151.1568297,0.004274485,0.105768871,1
8,share,64,0.021262458,0.138785,79.30247074,151.1568297,0.00295091,0.105768871,1
8,trial,6,0.001993355,-0.39165,79.30247074,151.1568297,-7.81E-04,0.105768871,1
8,giving,14,0.004651163,0.10867,79.30247074,151.1568297,5.05E-04,0.105768871,1
8,object,3,9.97E-04,0.096425,79.30247074,151.1568297,9.61E-05,0.105768871,1
8,topic,6,0.001993355,0,79.30247074,151.1568297,0,0.105768871,1
8,write,3,9.97E-04,0,79.30247074,151.1568297,0,0.105768871,1
8,throw,7,0.002325581,0.067005,79.30247074,151.1568297,1.56E-04,0.105768871,1
8,amazing,11,0.003654485,0.71692,79.30247074,151.1568297,0.002619973,0.105768871,1
8,problem,12,0.003986711,-0.32753,79.30247074,151.1568297,-0.001305767,0.105768871,1
8,previously,3,9.97E-04,0,79.30247074,151.1568297,0,0.105768871,1
8,system,2,6.64E-04,0.11065,79.30247074,151.1568297,7.35E-05,0.105768871,1
8,lots,6,0.001993355,-0.02014,79.30247074,151.1568297,-4.01E-05,0.105768871,1
8,incest,2,6.64E-04,-0.72053,79.30247074,151.1568297,-4.79E-04,0.105768871,1
8,sperm,2,6.64E-04,0,79.30247074,151.1568297,0,0.105768871,1
8,half,3,9.97E-04,-0.010233333,79.30247074,151.1568297,-1.02E-05,0.105768871,1
8,stepfather,5,0.00166113,0,79.30247074,151.1568297,0,0.105768871,1
8,give,27,0.0089701,0.330045,79.30247074,151.1568297,0.002960537,0.105768871,1
8,loved,12,0.003986711,0.67593,79.30247074,151.1568297,0.002694738,0.105768871,1
8,relationship,2,6.64E-04,0,79.30247074,151.1568297,0,0.105768871,1
8,check,6,0.001993355,0.380405,79.30247074,151.1568297,7.58E-04,0.105768871,1
8,island,2,6.64E-04,0,79.30247074,151.1568297,0,0.105768871,1
8,full,14,0.004651163,0.052195,79.30247074,151.1568297,2.43E-04,0.105768871,1
8,horror,5,0.00166113,-0.37584,79.30247074,151.1568297,-6.24E-04,0.105768871,1
8,wide,5,0.00166113,-0.07144,79.30247074,151.1568297,-1.19E-04,0.105768871,1
8,open,26,0.008637874,0.108066667,79.30247074,151.1568297,9.33E-04,0.105768871,1
8,blake,3,9.97E-04,0,79.30247074,151.1568297,0,0.105768871,1
8,profile,4,0.001328904,0.12158,79.30247074,151.1568297,1.62E-04,0.105768871,1
8,fake,9,0.002990033,-0.615426667,79.30247074,151.1568297,-0.001840146,0.105768871,1
8,degree,4,0.001328904,0.10136,79.30247074,151.1568297,1.35E-04,0.105768871,1
8,jury,4,0.001328904,0,79.30247074,151.1568297,0,0.105768871,1
8,defendant,2,6.64E-04,0,79.30247074,151.1568297,0,0.105768871,1
8,justice,26,0.008637874,0.46807,79.30247074,151.1568297,0.00404313,0.105768871,1
8,describe,5,0.00166113,0,79.30247074,151.1568297,0,0.105768871,1
8,article,7,0.002325581,0,79.30247074,151.1568297,0,0.105768871,1
8,terms,8,0.002657807,0,79.30247074,151.1568297,0,0.105768871,1
8,thread,2,6.64E-04,0,79.30247074,151.1568297,0,0.105768871,1
8,apply,3,9.97E-04,0.01233,79.30247074,151.1568297,1.23E-05,0.105768871,1
8,sense,19,0.006312292,0.307505,79.30247074,151.1568297,0.001941061,0.105768871,1
8,decision,6,0.001993355,0.15107,79.30247074,151.1568297,3.01E-04,0.105768871,1
