topic,method,sentiment
0,Topic-words,0.01488167262969588
1,Topic-words,0.08126172845691383
2,Topic-words,0.2389118364579647
3,Topic-words,0.08752865019240022
4,Topic-words,0.08220821626489347
5,Topic-words,0.06906040062022208
6,Topic-words,0.05554304487179482
7,Topic-words,0.0596242489255976
8,Topic-words,-0.011386852271167851
9,Topic-words,0.015313630206081575
0,Doc-topics-by-d(t)*V,0.2431674244153707
1,Doc-topics-by-d(t)*V,0.2450851686661036
2,Doc-topics-by-d(t)*V,0.23636964642278802
3,Doc-topics-by-d(t)*V,0.24077173737856225
4,Doc-topics-by-d(t)*V,0.23396720896610448
5,Doc-topics-by-d(t)*V,0.2303982714824099
6,Doc-topics-by-d(t)*V,0.24160182692912754
7,Doc-topics-by-d(t)*V,0.2539938824758247
8,Doc-topics-by-d(t)*V,0.24588348021901502
9,Doc-topics-by-d(t)*V,0.25351964930873305
0,Doc-topics-by-N,0.024451110573036335
1,Doc-topics-by-N,0.02550275383586177
2,Doc-topics-by-N,0.02352717294420498
3,Doc-topics-by-N,0.02470103352660918
4,Doc-topics-by-N,0.022844913901814857
5,Doc-topics-by-N,0.023204132551398363
6,Doc-topics-by-N,0.024604131601335042
7,Doc-topics-by-N,0.024522384004291624
8,Doc-topics-by-N,0.02388647317250109
9,Doc-topics-by-N,0.025194608174660703
